,0
82,"['크', '기는_', '풋', '롱', '으로_', '할', '게', '요_']"
83,"['사이', '즈', '는_', '30', '센', '치', '미', '터', '로_', '해주', '세요_']"
84,"['머', '스타', '드로_', '할', '게', '요_']"
85,"['치', '즈', '는_', '아', '메리', '칸', '_', '치', '즈', '로_', '주', '세요_']"
86,"['샌', '드', '위치는_', '비', '엘', '티', '로_', '해주', '세요_']"
87,"['모', '차', '렐', '라_', '치', '츠', '로_', '주', '이', '소_']"
88,"['15', '센', '치', '미', '터', '로_', '해주', '세요_']"
89,"['야', '채', '는', '양', '파_', '빼', '주', '세요_']"
90,"['써', '브', '웨이_', '클럽', '으로_', '주', '세요_']"
91,"['길', '이는_', '15', '센', '치', '미', '터', '로_', '주', '이', '소_']"
92,"['양', '파_', '빼', '주', '세요_']"
93,"['스', '파이', '시_', '이탈', '리아', 'ᆫ', '으로_', '할', '게', '요_']"
94,"['길', '이는_', '15', '센', '티', '미', '터', '로_', '해주', '세요_']"
95,"['스', '위', '트_', '칠', '리로_', '주', '세요_']"
96,"['하', '티', '로_', '할', '게', '요_']"
97,"['오', '이', '요_']"
98,"['크', '기는_', '풋', '롱', '으로_', '주', '이', '소_']"
99,"['파', '마', '산', '이', '요_']"
100,"['길', '이는_', '30', '센', '치', '미', '터', '로_', '주', '이', '소_']"
101,"['사이', '즈', '는_', '6', '인', '치', '로_', '할', '게', '요_']"
102,"['30', '센', '치', '미', '터', '로_', '해주', '세요_']"
103,"['풋', '롱', '으로_', '해주', '세요_']"
104,"['크', '기는_', '15', '센', '치', '미', '터', '로_', '주', '이', '소_']"
105,"['레', '드', '와', '인식', '초', '로_', '해주', '세요_']"
106,"['샌', '드', '위치는_', '햄', '으로_', '주', '세요_']"
107,"['치', '즈', '는_', '슈', '레', '드_', '치', '츠', '로_', '해주', '세요_']"
108,"['빵', '은_', '화', '이', '트로_', '주', '세요_']"
109,"['스', '위', '트_', '어', '니', '언', '으로_', '주', '이', '소_']"
110,"['15', '센', '치', '로_', '할', '게', '요_']"
111,"['길', '이는_', '30', 'c', 'm', '로_', '할', '게', '요_']"
112,"['랜', '치', '요_']"
113,"['사이', '즈', '는_', '15', '센', '티', '미', '터', '로_', '해주', '세요_']"
114,"['사이', '즈', '는_', '30', '센', '치', '미', '터', '로_', '할', '게', '요_']"
115,"['플', '랫', '으로_', '주', '세요_']"
116,"['치', '즈', '는_', '모', '짜', '렐', '라', '로_', '주', '이', '소_']"
117,"['아', '메리', '칸', '이', '요_']"
118,"['15', '센', '치', '미', '터', '로_', '주', '세요_']"
119,"['소', '스는_', '핫', '_', '칠', '리로_', '해주', '세요_']"
120,"['스', '파이', '시_', '이탈', '리아', 'ᆫ', '으로_', '주', '세요_']"
121,"['피', '클', '_', '빼', '주', '세요_']"
122,"['아', '메리', '칸', '_', '치', '즈', '로_', '주', '이', '소_']"
123,"['미', '트', '볼', '으로_', '주', '이', '소_']"
124,"['베', '지로_', '주', '세요_']"
125,"['쉬', '림', '프로_', '해주', '세요_']"
126,"['빵', '은_', '파', '마', '산', '으로_', '주', '세요_']"
127,"['비', '엘', '티', '로_', '주', '세요_']"
128,"['크', '기는_', '30', 'c', 'm', '로_', '할', '게', '요_']"
129,"['소', '스는_', '사우', '스', '웨', '스트_', '치', '폴', '레', '로_', '할', '게', '요_']"
130,"['샌', '드', '위치는_', '미', '트', '볼', '으로_', '주', '이', '소_']"
131,"['길', '이는_', '풋', '롱', '으로_', '주', '세요_']"
132,"['샌', '드', '위치는_', '베', '지로_', '주', '이', '소_']"
133,"['샌', '드', '위치는_', '써', '브', '웨이_', '클럽', '으로_', '할', '게', '요_']"
134,"['소', '스는_', '소', '금', '으로_', '해주', '세요_']"
135,"['오', '이_', '빼', '주', '세요_']"
136,"['소', '스는_', '머', '스타', '드로_', '주', '이', '소_']"
137,"['빵', '은_', '허', '니', '오', '트로_', '주', '이', '소_']"
138,"['치', '즈', '는_', '모', '짜', '렐', '라', '로_', '해주', '세요_']"
139,"['30', '센', '티', '미', '터', '요_']"
140,"['길', '이는_', '풋', '롱', '으로_', '할', '게', '요_']"
141,"['크', '기는_', '6', '인', '치', '로_', '주', '이', '소_']"
142,"['올리', '브', '는_', '빼', '주', '세요_']"
143,"['크', '기는_', '30', 'c', 'm', '로_', '해주', '세요_']"
144,"['허', '니_', '머', '스타', '드로_', '주', '이', '소_']"
145,"['머', '스타', '드로_', '주', '세요_']"
146,"['빵', '은_', '위', '트로_', '주', '이', '소_']"
147,"['사이', '즈', '는_', '30', 'c', 'm', '로_', '주', '이', '소_']"
148,"['로', '스트_', '치', '킨', '으로_', '주', '이', '소_']"
149,"['k', '바', '비', '큐', '로_', '할', '게', '요_']"
150,"['샌', '드', '위치는_', '이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '로_', '할', '게', '요_']"
151,"['위', '트로_', '해주', '세요_']"
152,"['사이', '즈', '는_', '6', 'in', 'ch', '로_', '주', '세요_']"
153,"['샌', '드', '위치는_', '참', '치', '로_', '주', '이', '소_']"
154,"['소', '스는_', '허', '니_', '머', '스타', '드로_', '주', '이', '소_']"
155,"['소', '스는_', '소', '금', '으로_', '할', '게', '요_']"
156,"['파', '마', '산', '으로_', '주', '세요_']"
157,"['터', '키_', '베이', '컨', '_', '아', '보', '카', '도로_', '주', '세요_']"
158,"['소', '스는_', '핫', '_', '칠', '리로_', '할', '게', '요_']"
159,"['랜', '치', '로_', '해주', '세요_']"
160,"['크', '기는_', '30', '센', '티', '미', '터', '로_', '할', '게', '요_']"
161,"['로', '티', '세', '리_', '바', '비', '큐', '_', '치', '킨', '으로_', '할', '게', '요_']"
162,"['이탈', '리아', 'ᆫ', '_', '비', '엠', '티', '요_']"
163,"['모', '차', '렐', '라_', '치', '츠', '요_']"
164,"['모', '짜', '렐', '라', '로_', '주', '세요_']"
165,"['크', '기는_', '15', '센', '치', '로_', '해주', '세요_']"
166,"['크', '기는_', '30', '센', '티', '미', '터', '로_', '주', '이', '소_']"
167,"['30', '센', '치', '미', '터', '로_', '주', '이', '소_']"
168,"['베', '지', '요_']"
169,"['터', '키', '요_']"
170,"['샌', '드', '위치는_', '햄', '으로_', '할', '게', '요_']"
171,"['피', '클', '은_', '빼', '주', '세요_']"
172,"['모', '차', '렐', '라', '로_', '할', '게', '요_']"
173,"['샌', '드', '위치는_', '써', '브', '웨이_', '클럽', '으로_', '주', '이', '소_']"
174,"['올리', '브', '요_']"
175,"['모', '차', '렐', '라', '요_']"
176,"['에', '그', '마', '요', '로_', '할', '게', '요_']"
177,"['15', 'c', 'm', '로_', '해주', '세요_']"
178,"['길', '이는_', '6', '인', '치', '로_', '해주', '세요_']"
179,"['허', '니', '오', '트로_', '주', '세요_']"
180,"['아', '메리', '칸', '_', '치', '즈', '로_', '할', '게', '요_']"
181,"['빵', '은_', '화', '이', '트로_', '할', '게', '요_']"
182,"['길', '이는_', '30', '센', '티', '로_', '해주', '세요_']"
183,"['양', '상', '추', '_', '빼', '주', '세요_']"
184,"['허', '니', '오', '트로_', '할', '게', '요_']"
185,"['핫', '_', '칠', '리로_', '주', '세요_']"
186,"['샌', '드', '위치는_', '미', '트', '볼', '으로_', '해주', '세요_']"
187,"['로', '티', '세', '리_', '바', '비', '큐', '_', '치', '킨', '이', '요_']"
188,"['빵', '은_', '하', '티', '로_', '주', '이', '소_']"
189,"['소', '스는_', '올리', '브_', '오', '일으로_', '해주', '세요_']"
190,"['크', '기는_', '30', '센', '티', '로_', '할', '게', '요_']"
191,"['빵', '은_', '파', '마', '산', '오', '레', '가', '노', '로_', '해주', '세요_']"
192,"['소', '스는_', '스', '모', '크_', '바', '비', '큐', '로_', '주', '이', '소_']"
193,"['터', '키', '로_', '해주', '세요_']"
194,"['핫', '_', '칠', '리로_', '해주', '세요_']"
195,"['위', '트', '요_']"
196,"['사이', '즈', '는_', '15', '센', '티', '미', '터', '로_', '주', '이', '소_']"
197,"['샌', '드', '위치는_', '치', '킨_', '데', '리', '야', '끼', '로_', '해주', '세요_']"
198,"['길', '이는_', '15', '센', '티', '미', '터', '로_', '주', '세요_']"
199,"['채', '소', '는', '양', '파_', '빼', '주', '세요_']"
200,"['화', '이', '트에_', '터', '키', '로_', '주', '세요_']"
201,"['화', '이', '트에_', '로', '스트_', '치', '킨', '으로_', '주', '세요_']"
202,"['파', '마', '산', '에_', '치', '킨_', '데', '리', '야', '끼', '로_', '주', '세요_']"
203,"['로', '스트_', '치', '킨', '에_', '빵', '은_', '허', '니', '오', '트로_', '주', '세요_']"
204,"['에', '그', '마', '요', '에_', '화', '이', '트로_', '주', '세요_']"
205,"['파', '마', '산', '에_', '햄', '으로_', '주', '세요_']"
206,"['위', '트에_', '스', '테이', '크_', '앤', '_', '치', '즈', '로_', '주', '세요_']"
207,"['써', '브', '웨이_', '클럽', '에_', '빵', '은_', '화', '이', '트로_', '주', '세요_']"
208,"['스', '테이', '크_', '앤', '_', '치', '즈', '에_', '플', '랫', '으로_', '주', '세요_']"
209,"['이탈', '리아', 'ᆫ', '_', '비', '엠', '티', '에_', '하', '티', '로_', '주', '세요_']"
210,"['페', '퍼_', '치', '킨_', '슈', '니', '첼', '에_', '허', '니', '오', '트로_', '주', '세요_']"
211,"['써', '브', '웨이_', '클럽', '에_', '빵', '은_', '허', '니', '오', '트로_', '주', '세요_']"
212,"['로', '스트_', '치', '킨', '에_', '빵', '은_', '하', '티', '로_', '주', '세요_']"
213,"['치', '킨_', '데', '리', '야', '끼', '에_', '빵', '은_', '플', '랫', '으로_', '주', '세요_']"
214,"['플', '랫', '에_', '써', '브', '웨이_', '클럽', '으로_', '주', '세요_']"
215,"['미', '트', '볼', '에_', '파', '마', '산', '으로_', '주', '세요_']"
216,"['k', '바', '비', '큐', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
217,"['풀', '드_', '포', '크_', '바', '비', '큐', '에_', '빵', '은_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
218,"['파', '마', '산', '에_', '로', '스트_', '치', '킨', '으로_', '주', '세요_']"
219,"['페', '퍼_', '치', '킨_', '슈', '니', '첼', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
220,"['쉬', '림', '프', '에_', '빵', '은_', '허', '니', '오', '트로_', '주', '세요_']"
221,"['페', '퍼_', '치', '킨_', '슈', '니', '첼', '에_', '플', '랫', '으로_', '주', '세요_']"
222,"['쉬', '림', '프', '에_', '빵', '은_', '파', '마', '산', '으로_', '주', '세요_']"
223,"['에', '그', '마', '요', '에_', '빵', '은_', '허', '니', '오', '트로_', '주', '세요_']"
224,"['써', '브', '웨이_', '클럽', '에_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
225,"['페', '퍼', '로', '니_', '피', '자_', '썹', '에_', '빵', '은_', '파', '마', '산', '으로_', '주', '세요_']"
226,"['플', '랫', '에_', '이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '로_', '주', '세요_']"
227,"['플', '랫', '에_', 'b', 'm', 't', '로_', '주', '세요_']"
228,"['스', '파이', '시_', '이탈', '리아', 'ᆫ', '에_', '빵', '은_', '파', '마', '산', '으로_', '주', '세요_']"
229,"['참', '치', '에_', '빵', '은_', '플', '랫', '으로_', '주', '세요_']"
230,"['미', '트', '볼', '에_', '빵', '은_', '플', '랫', '으로_', '주', '세요_']"
231,"['스', '테이', '크_', '치', '즈', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
232,"['베', '지에_', '빵', '은_', '하', '티', '로_', '주', '세요_']"
233,"['위', '트에_', '페', '퍼', '로', '니_', '피', '자_', '썹', '으로_', '주', '세요_']"
234,"['하', '티', '에_', 'k', '바', '비', '큐', '로_', '주', '세요_']"
235,"['로', '티', '세', '리_', '바', '비', '큐', '_', '치', '킨', '에_', '허', '니', '오', '트로_', '주', '세요_']"
236,"['쉬', '림', '프', '에_', '빵', '은_', '플', '랫', '으로_', '주', '세요_']"
237,"['스', '파이', '시_', '이탈', '리아', 'ᆫ', '에_', '빵', '은_', '허', '니', '오', '트로_', '주', '세요_']"
238,"['위', '트에_', 'k', '바', '비', '큐', '로_', '주', '세요_']"
239,"['화', '이', '트에_', 'b', 'm', 't', '로_', '주', '세요_']"
240,"['풀', '드_', '포', '크_', '바', '비', '큐', '에_', '허', '니', '오', '트로_', '주', '세요_']"
241,"['파', '마', '산', '에_', '쉬', '림', '프로_', '주', '세요_']"
242,"['파', '마', '산', '오', '레', '가', '노', '에_', '로', '스트_', '치', '킨', '으로_', '주', '세요_']"
243,"['하', '티', '에_', '베', '지로_', '주', '세요_']"
244,"['참', '치', '에_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
245,"['치', '킨_', '데', '리', '야', '끼', '에_', '위', '트로_', '주', '세요_']"
246,"['에', '그', '마', '요', '에_', '빵', '은_', '화', '이', '트로_', '주', '세요_']"
247,"['허', '니', '오', '트에_', '풀', '드_', '포', '크_', '바', '비', '큐', '로_', '주', '세요_']"
248,"['이탈', '리아', 'ᆫ', '_', '비', '엠', '티', '에_', '빵', '은_', '하', '티', '로_', '주', '세요_']"
249,"['파', '마', '산', '에_', '스', '테이', '크_', '치', '즈', '로_', '주', '세요_']"
250,"['화', '이', '트에_', '페', '퍼', '로', '니_', '피', '자_', '썹', '으로_', '주', '세요_']"
251,"['쉬', '림', '프', '에_', '플', '랫', '으로_', '주', '세요_']"
252,"['플', '랫', '에_', '쉬', '림', '프로_', '주', '세요_']"
253,"['파', '마', '산', '에_', 'k', '바', '비', '큐', '로_', '주', '세요_']"
254,"['b', 'm', 't', '에_', '위', '트로_', '주', '세요_']"
255,"['플', '랫', '에_', '스', '테이', '크_', '앤', '_', '치', '즈', '로_', '주', '세요_']"
256,"['터', '키', '에_', '빵', '은_', '허', '니', '오', '트로_', '주', '세요_']"
257,"['화', '이', '트에_', '로', '티', '세', '리_', '바', '비', '큐', '_', '치', '킨', '으로_', '주', '세요_']"
258,"['이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '에_', '빵', '은_', '플', '랫', '으로_', '주', '세요_']"
259,"['화', '이', '트에_', '치', '킨_', '데', '리', '야', '끼', '로_', '주', '세요_']"
260,"['위', '트에_', '이탈', '리아', 'ᆫ', '_', '비', '엠', '티', '로_', '주', '세요_']"
261,"['b', 'm', 't', '에_', '빵', '은_', '화', '이', '트로_', '주', '세요_']"
262,"['b', 'm', 't', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
263,"['터', '키_', '베이', '컨', '_', '아', '보', '카', '도에_', '빵', '은_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
264,"['페', '퍼', '로', '니_', '피', '자_', '썹', '에_', '파', '마', '산', '으로_', '주', '세요_']"
265,"['화', '이', '트에_', '비', '엘', '티', '로_', '주', '세요_']"
266,"['페', '퍼', '로', '니_', '피', '자_', '썹', '에_', '화', '이', '트로_', '주', '세요_']"
267,"['스', '테이', '크_', '치', '즈', '에_', '빵', '은_', '파', '마', '산', '으로_', '주', '세요_']"
268,"['로', '티', '세', '리_', '바', '비', '큐', '_', '치', '킨', '에_', '플', '랫', '으로_', '주', '세요_']"
269,"['이탈', '리아', 'ᆫ', '_', '비', '엠', '티', '에_', '위', '트로_', '주', '세요_']"
270,"['비', '엘', '티', '에_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
271,"['써', '브', '웨이_', '클럽', '에_', '빵', '은_', '하', '티', '로_', '주', '세요_']"
272,"['파', '마', '산', '에_', '이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '로_', '주', '세요_']"
273,"['터', '키', '에_', '위', '트로_', '주', '세요_']"
274,"['스', '테이', '크_', '앤', '_', '치', '즈', '에_', '빵', '은_', '허', '니', '오', '트로_', '주', '세요_']"
275,"['쉬', '림', '프', '에_', '위', '트로_', '주', '세요_']"
276,"['하', '티', '에_', '터', '키_', '베이', '컨', '_', '아', '보', '카', '도로_', '주', '세요_']"
277,"['파', '마', '산', '에_', '에', '그', '마', '요', '로_', '주', '세요_']"
278,"['플', '랫', '에_', '로', '스트_', '치', '킨', '으로_', '주', '세요_']"
279,"['페', '퍼', '로', '니_', '피', '자_', '썹', '에_', '위', '트로_', '주', '세요_']"
280,"['비', '엘', '티', '에_', '빵', '은_', '파', '마', '산', '으로_', '주', '세요_']"
281,"['화', '이', '트에_', '쉬', '림', '프로_', '주', '세요_']"
282,"['허', '니', '오', '트에_', 'k', '바', '비', '큐', '로_', '주', '세요_']"
283,"['햄', '에_', '빵', '은_', '하', '티', '로_', '주', '세요_']"
284,"['이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '에_', '빵', '은_', '하', '티', '로_', '주', '세요_']"
285,"['파', '마', '산', '오', '레', '가', '노', '에_', '치', '킨_', '데', '리', '야', '끼', '로_', '주', '세요_']"
286,"['화', '이', '트에_', 'k', '바', '비', '큐', '로_', '주', '세요_']"
287,"['플', '랫', '에_', '베', '지로_', '주', '세요_']"
288,"['스', '테이', '크_', '앤', '_', '치', '즈', '에_', '하', '티', '로_', '주', '세요_']"
289,"['로', '스트_', '치', '킨', '에_', '허', '니', '오', '트로_', '주', '세요_']"
290,"['스', '테이', '크_', '앤', '_', '치', '즈', '에_', '빵', '은_', '하', '티', '로_', '주', '세요_']"
291,"['터', '키_', '베이', '컨', '_', '아', '보', '카', '도에_', '허', '니', '오', '트로_', '주', '세요_']"
292,"['페', '퍼', '로', '니_', '피', '자_', '썹', '에_', '하', '티', '로_', '주', '세요_']"
293,"['이탈', '리아', 'ᆫ', '_', '비', '엠', '티', '에_', '플', '랫', '으로_', '주', '세요_']"
294,"['파', '마', '산', '에_', '스', '테이', '크_', '앤', '_', '치', '즈', '로_', '주', '세요_']"
295,"['에', '그', '마', '요', '에_', '빵', '은_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
296,"['플', '랫', '에_', '치', '킨_', '데', '리', '야', '끼', '로_', '주', '세요_']"
297,"['플', '랫', '에_', '풀', '드_', '포', '크_', '바', '비', '큐', '로_', '주', '세요_']"
298,"['햄', '에_', '하', '티', '로_', '주', '세요_']"
299,"['스', '파이', '시_', '이탈', '리아', 'ᆫ', '에_', '빵', '은_', '플', '랫', '으로_', '주', '세요_']"
300,"['이탈', '리아', 'ᆫ', '_', 'b', 'l', 't', '에_', '빵', '은_', '화', '이', '트로_', '주', '세요_']"
301,"['쉬', '림', '프', '에_', '하', '티', '로_', '주', '세요_']"
302,"['로', '스트_', '치', '킨', '에_', '위', '트로_', '주', '세요_']"
303,"['참', '치', '에_', '빵', '은_', '파', '마', '산', '으로_', '주', '세요_']"
304,"['플', '랫', '에_', 'k', '바', '비', '큐', '로_', '주', '세요_']"
305,"['참', '치', '에_', '위', '트로_', '주', '세요_']"
306,"['b', 'm', 't', '에_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
307,"['스', '테이', '크_', '치', '즈', '에_', '화', '이', '트로_', '주', '세요_']"
308,"['로', '티', '세', '리_', '바', '비', '큐', '_', '치', '킨', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
309,"['쉬', '림', '프', '에_', '허', '니', '오', '트로_', '주', '세요_']"
310,"['쉬', '림', '프', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
311,"['하', '티', '에_', '미', '트', '볼', '으로_', '주', '세요_']"
312,"['위', '트에_', '터', '키_', '베이', '컨', '_', '아', '보', '카', '도로_', '주', '세요_']"
313,"['k', '바', '비', '큐', '에_', '빵', '은_', '플', '랫', '으로_', '주', '세요_']"
314,"['스', '파이', '시_', '이탈', '리아', 'ᆫ', '에_', '화', '이', '트로_', '주', '세요_']"
315,"['써', '브', '웨이_', '클럽', '에_', '화', '이', '트로_', '주', '세요_']"
316,"['화', '이', '트에_', '페', '퍼_', '치', '킨_', '슈', '니', '첼', '으로_', '주', '세요_']"
317,"['치', '킨_', '데', '리', '야', '끼', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
318,"['허', '니', '오', '트에_', '참', '치', '로_', '주', '세요_']"
319,"['허', '니', '오', '트에_', '스', '테이', '크_', '치', '즈', '로_', '주', '세요_']"
320,"['허', '니', '오', '트에_', '비', '엘', '티', '로_', '주', '세요_']"
321,"['파', '마', '산', '에_', '터', '키', '로_', '주', '세요_']"
322,"['비', '엘', '티', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
323,"['풀', '드_', '포', '크_', '바', '비', '큐', '에_', '파', '마', '산', '으로_', '주', '세요_']"
324,"['플', '랫', '에_', '터', '키', '로_', '주', '세요_']"
325,"['위', '트에_', '로', '스트_', '치', '킨', '으로_', '주', '세요_']"
326,"['허', '니', '오', '트에_', '미', '트', '볼', '으로_', '주', '세요_']"
327,"['터', '키_', '베이', '컨', '_', '아', '보', '카', '도에_', '위', '트로_', '주', '세요_']"
328,"['b', 'm', 't', '에_', '하', '티', '로_', '주', '세요_']"
329,"['하', '티', '에_', '에', '그', '마', '요', '로_', '주', '세요_']"
330,"['써', '브', '웨이_', '클럽', '에_', '빵', '은_', '위', '트로_', '주', '세요_']"
331,"['미', '트', '볼', '에_', '빵', '은_', '화', '이', '트로_', '주', '세요_']"
332,"['베', '지에_', '빵', '은_', '플', '랫', '으로_', '주', '세요_']"
333,"['터', '키', '에_', '빵', '은_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
334,"['파', '마', '산', '오', '레', '가', '노', '에_', '스', '테이', '크_', '치', '즈', '로_', '주', '세요_']"
335,"['하', '티', '에_', '이탈', '리아', 'ᆫ', '_', '비', '엠', '티', '로_', '주', '세요_']"
336,"['스', '파이', '시_', '이탈', '리아', 'ᆫ', '에_', '빵', '은_', '파', '마', '산', '오', '레', '가', '노', '로_', '주', '세요_']"
